,横坐标x (m),纵坐标y (m),速度 (m/s)
龙头,4.495065,-0.210688,1.0
第1节龙身,3.761178,2.55355,0.999633
第2节龙身,2.621079,3.746308,0.999569
第3节龙身,1.131809,4.456644,0.999507
第4节龙身,-0.512344,4.595426,0.999445
第5节龙身,-2.100525,4.148011,0.999386
第6节龙身,-3.432401,3.174046,0.999327
第7节龙身,-4.342907,1.798009,0.99927
第8节龙身,-4.721705,0.192079,0.999214
第9节龙身,-4.525225,-1.446181,0.99916
第10节龙身,-3.780182,-2.918394,0.999106
第11节龙身,-2.578553,-4.049141,0.999054
第12节龙身,-1.065005,-4.706157,0.999002
第13节龙身,0.581418,-4.814744,0.998952
第14节龙身,2.168939,-4.364992,0.998903
第15节龙身,3.515408,-3.411303,0.998855
第16节龙身,4.468788,-2.064616,0.998807
第17节龙身,4.923549,-0.478522,0.998761
第18节龙身,4.831315,1.168898,0.998715
第19节龙身,4.204837,2.69534,0.998671
第20节龙身,3.115152,3.934326,0.998627
第21节龙身,1.682506,4.752877,0.998584
第22节龙身,0.062299,5.065012,0.998542
第23节龙身,-1.572261,4.839811,0.998501
第24节龙身,-3.048818,4.103417,0.99846
第25节龙身,-4.213857,2.935006,0.99842
第26节龙身,-4.948165,1.457409,0.998381
第27节龙身,-5.178296,-0.176464,0.998343
第28节龙身,-4.883032,-1.79983,0.998305
第29节龙身,-4.094377,-3.249149,0.998268
第30节龙身,-2.893206,-4.380381,0.998232
第31节龙身,-1.400206,-5.082842,0.998196
第32节龙身,0.23682,-5.289352,0.998161
第33节龙身,1.857915,-4.981862,0.998126
第34节龙身,3.306664,-4.192162,0.998092
第35节龙身,4.445092,-2.997808,0.998059
第36节龙身,5.166382,-1.513813,0.998026
第37节龙身,5.404297,0.118944,0.997994
第38节龙身,5.138539,1.747401,0.997962
第39节龙身,4.395713,3.220734,0.997931
第40节龙身,3.245939,4.404169,0.9979
第41节龙身,1.795605,5.190956,0.99787
第42节龙身,0.177034,5.511468,0.99784
第43节龙身,-1.463898,5.338728,0.997811
第44节龙身,-2.981012,4.689985,0.997782
第45节龙身,-4.24074,3.624347,0.997753
第46节龙身,-5.133603,2.236797,0.997725
第47节龙身,-5.583276,0.649254,0.997698
第48节龙身,-5.552562,-1.00046,0.997671
第49节龙身,-5.045847,-2.570728,0.997644
第50节龙身,-4.107965,-3.928254,0.997617
第51节龙身,-2.819667,-4.959171,0.997592
第52节龙身,-1.2902,-5.578226,0.997566
第53节龙身,0.3523,-5.735367,0.997541
第54节龙身,1.971733,-5.419238,0.997516
第55节龙身,3.43534,-4.657427,0.997491
第56节龙身,4.624457,-3.51353,0.997467
第57节龙身,5.443866,-2.081375,0.997443
第58节龙身,5.829031,-0.47696,0.99742
第59节龙身,5.750715,1.171181,0.997397
第60节龙身,5.216687,2.732371,0.997374
第61节龙身,4.270482,4.084108,0.997352
第62节龙身,2.98739,5.121497,0.997329
第63节龙身,1.468084,5.765088,0.997308
第64节龙身,-0.169567,5.966575,0.997286
第65节龙身,-1.799807,5.711981,0.997265
第66节龙身,-3.298684,5.022149,0.997244
第67节龙身,-4.553386,3.950597,0.997223
第68节龙身,-5.470529,2.578974,0.997202
第69节龙身,-5.9828,1.010511,0.997182
第70节龙身,-6.053533,-0.637972,0.997162
第71节龙身,-5.678909,-2.244882,0.997143
第72节龙身,-4.887721,-3.692819,0.997123
第73节龙身,-3.738765,-4.877048,0.997104
第74节龙身,-2.31612,-5.71286,0.997085
第75节龙身,-0.722726,-6.14134,0.997066
第76节龙身,0.927254,-6.133172,0.997048
第77节龙身,2.516697,-5.690259,0.997029
第78节龙身,3.933816,-4.845111,0.997011
第79节龙身,5.079906,-3.658109,0.996994
第80节龙身,5.876019,-2.212873,0.996976
第81节龙身,6.268119,-0.610139,0.996959
第82节龙身,6.230438,1.039431,0.996941
第83节龙身,5.766808,2.622954,0.996925
第84节龙身,4.909967,4.033034,0.996908
第85节龙身,3.718928,5.174929,0.996891
第86节龙身,2.274626,5.972734,0.996875
第87节龙身,0.674206,6.374174,0.996859
第88节龙身,-0.975668,6.35373,0.996843
第89节龙身,-2.565978,5.913943,0.996827
第90节龙身,-3.992548,5.084848,0.996811
第91节龙身,-5.162765,3.921624,0.996796
第92节龙身,-6.001428,2.500657,0.99678
第93节龙身,-6.455353,0.914324,0.996765
第94节龙身,-6.49648,-0.735163,0.99675
第95节龙身,-6.123313,-2.342411,0.996736
第96节龙身,-5.360652,-3.805575,0.996721
第97节龙身,-4.257664,-5.032734,0.996707
第98节龙身,-2.884472,-5.947526,0.996692
第99节龙身,-1.32749,-6.4937,0.996678
第100节龙身,0.316158,-6.638338,0.996664
第101节龙身,1.944777,-6.373574,0.99665
第102节龙身,3.458406,-5.716743,0.996637
第103节龙身,4.7649,-4.708987,0.996623
第104节龙身,5.785427,-3.412443,0.99661
第105节龙身,6.459055,-1.906214,0.996597
第106节龙身,6.746182,-0.281389,0.996583
第107节龙身,6.630628,1.36456,0.99657
第108节龙身,6.120295,2.933656,0.996558
第109节龙身,5.24639,4.333224,0.996545
第110节龙身,4.06129,5.481282,0.996532
第111节龙身,2.635202,6.311206,0.99652
第112节龙身,1.05185,6.77542,0.996508
第113节龙身,-0.596557,6.847912,0.996495
第114节龙身,-2.214745,6.52547,0.996483
第115节龙身,-3.709886,5.827579,0.996471
第116节龙身,-4.996873,4.795026,0.996459
第117节龙身,-6.003056,3.48732,0.996448
第118节龙身,-6.672205,1.979096,0.996436
第119节龙身,-6.967472,0.35573,0.996425
第120节龙身,-6.873216,-1.291576,0.996413
第121节龙身,-6.395624,-2.870945,0.996402
第122节龙身,-5.5621,-4.294931,0.996391
第123节龙身,-4.4195,-5.485295,0.99638
第124节龙身,-3.031327,-6.37719,0.996369
第125节龙身,-1.47406,-6.92255,0.996358
第126节龙身,0.167164,-7.092506,0.996347
第127节龙身,1.803256,-6.878728,0.996337
第128节龙身,3.346032,-6.293627,0.996326
第129节龙身,4.712927,-5.369454,0.996316
第130节龙身,5.831345,-4.156341,0.996305
第131节龙身,6.642398,-2.719437,0.996295
第132节龙身,7.103869,-1.135283,0.996285
第133节龙身,7.192242,0.512349,0.996275
第134节龙身,6.903725,2.136928,0.996265
第135节龙身,6.25422,3.653715,0.996255
第136节龙身,5.27828,4.984144,0.996245
第137节龙身,4.027107,6.059815,0.996236
第138节龙身,2.565736,6.825904,0.996226
第139节龙身,0.969539,7.243823,0.996217
第140节龙身,-0.679728,7.293008,0.996207
第141节龙身,-2.298153,6.971765,0.996198
第142节龙身,-3.80394,6.297147,0.996188
第143节龙身,-5.121495,5.303896,0.996179
第144节龙身,-6.185161,4.042502,0.99617
第145节龙身,-6.942378,2.576514,0.996161
第146节龙身,-7.356162,0.97924,0.996152
第147节龙身,-7.406764,-0.669984,0.996143
第148节龙身,-7.092459,-2.289771,0.996134
第149节龙身,-6.429441,-3.8007,0.996126
第150节龙身,-5.450837,-5.129171,0.996117
第151节龙身,-4.204923,-6.210929,0.996109
第152节龙身,-2.752621,-6.994075,0.9961
第153节龙身,-1.164427,-7.441445,0.996092
第154节龙身,0.483073,-7.532238,0.996083
第155节龙身,2.110933,-7.262845,0.996075
第156节龙身,3.641631,-6.646839,0.996067
第157节龙身,5.002734,-5.714156,0.996059
第158节龙身,6.130269,-4.509512,0.99605
第159节龙身,6.971645,-3.090151,0.996042
第160节龙身,7.488006,-1.523029,0.996035
第161节龙身,7.6559,0.118407,0.996027
第162节龙身,7.468219,1.757698,0.996019
第163节龙身,6.934361,3.318946,0.996011
第164节龙身,6.079632,4.730307,0.996003
第165节龙身,4.943926,5.927249,0.995996
第166节龙身,3.579753,6.855437,0.995988
第167节龙身,2.049724,7.473102,0.995981
第168节龙身,0.423605,7.752814,0.995973
第169节龙身,-1.2249,7.682588,0.995966
第170节龙身,-2.821512,7.266261,0.995958
第171节龙身,-4.294716,6.523179,0.995951
第172节龙身,-5.578922,5.487169,0.995944
第173节龙身,-6.617334,4.204906,0.995937
第174节龙身,-7.364382,2.733709,0.99593
第175节龙身,-7.787626,1.138916,0.995923
第176节龙身,-7.869055,-0.509073,0.995916
第177节龙身,-7.605748,-2.137928,0.995909
第178节龙身,-7.009846,-3.676565,0.995902
第179节龙身,-6.107895,-5.058224,0.995895
第180节龙身,-4.939549,-6.223328,0.995888
第181节龙身,-3.555741,-7.12198,0.995881
第182节龙身,-2.016386,-7.716023,0.995875
第183节龙身,-0.387731,-7.980566,0.995868
第184节龙身,1.260534,-7.90492,0.995861
第185节龙身,2.85827,-7.492925,0.995855
第186节龙身,4.337866,-6.762654,0.995848
第187节龙身,5.637069,-5.745515,0.995842
第188节龙身,6.701557,-4.484814,0.995835
第189节龙身,7.487138,-3.033828,0.995829
第190节龙身,7.96151,-1.453489,0.995823
第191节龙身,8.105493,0.190217,0.995817
第192节龙身,7.913706,1.829033,0.99581
第193节龙身,7.394671,3.395272,0.995804
第194节龙身,6.570331,4.824594,0.995798
第195节龙身,5.475033,6.058621,0.995792
第196节龙身,4.154016,7.047264,0.995786
第197节龙身,2.661473,7.750694,0.99578
第198节龙身,1.058268,8.140865,0.995774
第199节龙身,-0.590579,8.202545,0.995768
第200节龙身,-2.218549,7.933818,0.995762
第201节龙身,-3.76031,7.346048,0.995756
第202节龙身,-5.154318,6.463301,0.99575
第203节龙身,-6.345241,5.321285,0.995745
第204节龙身,-7.286104,3.965823,0.995739
第205节龙身,-7.940074,2.450956,0.995733
第206节龙身,-8.281832,0.836737,0.995728
第207节龙身,-8.298464,-0.813179,0.995722
第208节龙身,-7.989868,-2.434064,0.995717
第209节龙身,-7.368646,-3.962653,0.995711
第210节龙身,-6.459506,-5.339593,0.995706
第211节龙身,-5.2982,-6.511715,0.9957
第212节龙身,-3.930055,-7.434038,0.995695
第213节龙身,-2.408139,-8.071432,0.995689
第214节龙身,-0.791161,-8.399887,0.995684
第215节龙身,0.858822,-8.407339,0.995679
第216节龙身,2.478803,-8.094032,0.995673
第217节龙身,4.007227,-7.472405,0.995668
第218节龙身,5.386313,-6.566523,0.995663
第219节龙身,6.564205,-5.411071,0.995658
第220节龙身,7.496878,-4.049961,0.995653
第221节龙身,8.149724,-2.534609,0.995648
龙尾,8.498773,-0.921951,0.995643
龙尾（后）,8.531496,0.727724,0.995638
