,-100 s,-50 s,0 s,50 s,100 s
龙头x (m),7.778034,6.608301,-2.711856,1.332696,-3.157229
龙头y (m),3.717164,1.898865,-3.591078,6.175324,7.548511
第1节龙身x (m),6.209273,5.366911,-0.063534,3.862265,-0.34689
第1节龙身y (m),6.108521,4.475403,-4.670888,4.840828,8.079166
第51节龙身x (m),-10.608038,-3.629945,2.459962,-1.671385,2.095033
第51节龙身y (m),2.831491,-8.9638,-7.778145,-6.076713,4.033787
第101节龙身x (m),-11.922761,10.125787,3.008493,-7.591816,-7.288774
第101节龙身y (m),-4.802378,-5.972247,10.108539,5.175487,2.063875
第151节龙身x (m),-14.351032,12.974784,-7.002789,-4.605165,9.462513
第151节龙身y (m),-1.980993,-3.810357,10.337482,-10.386988,-3.540357
第201节龙身x (m),-11.952942,10.522509,-6.872842,0.336952,8.524374
第201节龙身y (m),10.566998,-10.807425,12.382609,-13.17761,8.606933
龙尾（后）x (m),-1.011059,0.189809,-1.933627,5.859094,-10.980157
龙尾（后）y (m),-16.527573,15.720588,-14.713128,12.612894,-6.770006
