,横坐标x (m),纵坐标y (m),速度 (m/s)
龙头,2.08767,-0.610477,1.0
第1节龙身,1.036454,2.049325,0.989215
第2节龙身,-0.596894,2.283149,0.987969
第3节龙身,-1.983584,1.388951,0.986857
第4节龙身,-2.474575,-0.186304,0.985859
第5节龙身,-1.86838,-1.720914,0.984957
第6节龙身,-0.44686,-2.558636,0.984139
第7节龙身,1.192355,-2.370291,0.983393
第8节龙身,2.402808,-1.248995,0.98271
第9节龙身,2.737197,0.366766,0.982082
第10节龙身,2.09005,1.884561,0.981503
第11节龙身,0.703023,2.778236,0.980968
第12节龙身,-0.946858,2.75846,0.98047
第13节龙身,-2.321676,1.846113,0.980008
第14节龙身,-2.995858,0.340132,0.979577
第15节龙身,-2.775944,-1.295147,0.979173
第16节龙身,-1.7393,-2.57884,0.978795
第17节龙身,-0.191806,-3.151347,0.97844
第18节龙身,1.433092,-2.864633,0.978106
第19节龙身,2.699453,-1.806886,0.977791
第20节龙身,3.282449,-0.263313,0.977494
第21节龙身,3.043158,1.369243,0.977213
第22节龙身,2.050691,2.687389,0.976947
第23节龙身,0.552382,3.378454,0.976694
第24节龙身,-1.09514,3.288062,0.976454
第25节龙身,-2.513992,2.445827,0.976226
第26节龙身,-3.390518,1.047899,0.976008
第27节龙身,-3.539874,-0.595327,0.975801
第28节龙身,-2.9381,-2.131676,0.975603
第29节龙身,-1.718253,-3.242744,0.975414
第30节龙身,-0.134872,-3.706864,0.975234
第31节龙身,1.4931,-3.438151,0.975061
第32节龙身,2.847834,-2.49624,0.974895
第33节龙身,3.673258,-1.067544,0.974736
第34节龙身,3.819927,0.575925,0.974583
第35节龙身,3.267265,2.130616,0.974436
第36节龙身,2.121131,3.317577,0.974295
第37节龙身,0.589219,3.930556,0.97416
第38节龙身,-1.059611,3.868407,0.974029
第39节龙身,-2.543823,3.147565,0.973903
第40节龙身,-3.616822,1.8941,0.973781
第41节龙身,-4.105913,0.318254,0.973664
第42节龙身,-3.937007,-1.323078,0.973551
第43节龙身,-3.142235,-2.76905,0.973442
第44节龙身,-1.850546,-3.795715,0.973336
第45节龙身,-0.263994,-4.248875,0.973234
第46节龙身,1.37568,-4.064574,0.973135
第47节龙身,2.824523,-3.275047,0.973039
第48节龙身,3.872122,-2.000277,0.972946
第49节龙身,4.370621,-0.427382,0.972856
第50节龙身,4.25334,1.218444,0.972769
第51节龙身,3.541083,2.706795,0.972684
第52节龙身,2.336085,3.833952,0.972602
第53节龙身,0.805226,4.449556,0.972523
第54节龙身,-0.844581,4.474823,0.972445
第55节龙身,-2.395053,3.910433,0.97237
第56节龙身,-3.645311,2.8337,0.972296
第57节龙身,-4.437043,1.386061,0.972225
第58节龙身,-4.6731,-0.246966,0.972156
第59节龙身,-4.327602,-1.860388,0.972088
第60节龙身,-3.446796,-3.255624,0.972023
第61节龙身,-2.141116,-4.264434,0.971959
第62节龙身,-0.569884,-4.768152,0.971896
第63节龙身,1.079097,-4.710185,0.971836
第64节龙身,2.612409,-4.100713,0.971776
第65节龙身,3.853537,-3.013469,0.971719
第66节龙身,4.662517,-1.575396,0.971662
第67节龙身,4.950626,0.049255,0.971607
第68节龙身,4.688758,1.678343,0.971553
第69节龙身,3.908894,3.13241,0.971501
第70节龙身,2.698852,4.254148,0.97145
第71节龙身,1.191249,4.924696,0.9714
第72节龙身,-0.451873,5.075197,0.971351
第73节龙身,-2.056916,4.692654,0.971303
第74节龙身,-3.457103,3.819742,0.971256
第75节龙身,-4.509456,2.548894,0.97121
第76节龙身,-5.108704,1.011558,0.971166
第77节龙身,-5.196878,-0.636084,0.971122
第78节龙身,-4.767838,-2.229327,0.971079
第79节龙身,-3.86652,-3.611401,0.971037
第80节龙身,-2.583239,-4.648556,0.970996
第81节龙身,-1.043804,-5.242391,0.970956
第82节龙身,0.603402,-5.338359,0.970916
第83节龙身,2.202028,-4.929829,0.970877
第84节龙身,3.602589,-4.057518,0.97084
第85节龙身,4.676168,-2.80455,0.970802
第86节龙身,5.325746,-1.287794,0.970766
第87节龙身,5.49426,0.353578,0.97073
第88节龙身,5.168787,1.971159,0.970695
第89节龙身,4.380654,3.420761,0.970661
第90节龙身,3.201632,4.575061,0.970627
第91节龙身,1.736718,5.334354,0.970594
第92节龙身,0.114259,5.634567,0.970562
第93节龙身,-1.525604,5.451954,0.97053
第94节龙身,-3.043143,4.804207,0.970499
第95节龙身,-4.310822,3.748039,0.970468
第96节龙身,-5.223694,2.37357,0.970438
第97节龙身,-5.707612,0.796128,0.970408
第98节龙身,-5.724642,-0.853784,0.970379
第99节龙身,-5.275381,-2.441444,0.97035
第100节龙身,-4.398076,-3.838883,0.970322
第101节龙身,-3.164769,-4.934991,0.970295
第102节龙身,-1.674859,-5.643983,0.970267
第103节龙身,-0.04671,-5.911624,0.970241
第104节龙身,1.591986,-5.718814,0.970214
第105节龙身,3.114289,-5.082345,0.970189
第106节龙身,4.403745,-4.052878,0.970163
第107节龙身,5.363046,-2.710402,0.970138
第108节龙身,5.921,-1.157602,0.970113
第109节龙身,6.03735,0.48829,0.970089
第110节龙身,5.705158,2.104505,0.970065
第111节龙身,4.950662,3.571895,0.970042
第112节龙身,3.830717,4.783598,0.970019
第113节龙身,2.428072,5.652556,0.969996
第114节龙身,0.844909,6.117414,0.969974
第115节龙身,-0.804836,6.146427,0.969952
第116节龙身,-2.403782,5.739151,0.96993
第117节龙身,-3.839439,4.925893,0.969909
第118节龙身,-5.011988,3.765019,0.969888
第119节龙身,-5.840977,2.338388,0.969867
第120节龙身,-6.27051,0.745277,0.969846
第121节龙身,-6.272629,-0.904722,0.969826
第122节龙身,-5.848708,-2.499335,0.969806
第123节龙身,-5.028835,-3.931225,0.969787
第124节龙身,-3.869292,-5.105089,0.969767
第125节龙身,-2.448346,-5.943787,0.969748
第126节龙身,-0.860703,-6.393108,0.96973
第127节龙身,0.78899,-6.424933,0.969711
第128节龙身,2.393127,-6.038612,0.969693
第129节龙身,3.848152,-5.260536,0.969675
第130节龙身,5.061138,-4.141981,0.969657
第131节龙身,5.955535,-2.755419,0.96964
第132节龙身,6.475744,-1.18957,0.969622
第133节龙身,6.590265,0.456451,0.969605
第134节龙身,6.293267,2.079501,0.969589
第135节龙身,5.604528,3.578881,0.969572
第136节龙身,4.567797,4.862504,0.969556
第137节龙身,3.24772,5.852402,0.969539
第138节龙身,1.725572,6.489242,0.969523
第139节龙身,0.09407,6.735621,0.969508
第140节龙身,-1.54838,6.577957,0.969492
第141节龙身,-3.103652,6.026932,0.969477
第142节龙身,-4.479717,5.116469,0.969462
第143节龙身,-5.595978,3.901372,0.969447
第144节龙身,-6.387813,2.453788,0.969432
第145节龙身,-6.810091,0.858739,0.969417
第146节龙身,-6.839491,-0.790999,0.969403
第147节龙身,-6.475505,-2.400351,0.969389
第148节龙身,-5.740125,-3.877415,0.969375
第149节龙身,-4.676253,-5.138635,0.969361
第150节龙身,-3.344963,-6.1134,0.969347
第151节龙身,-1.821802,-6.747814,0.969333
第152节龙身,-0.192359,-7.007458,0.96932
第153节龙身,1.452634,-6.879014,0.969307
第154节龙身,3.022382,-6.370691,0.969294
第155节龙身,4.431006,-5.511459,0.969281
第156节龙身,5.602158,-4.349176,0.969268
第157节龙身,6.47302,-2.947713,0.969255
第158节龙身,6.9975,-1.383289,0.969243
第159节龙身,7.148461,0.25979,0.96923
第160节龙身,6.918902,1.893744,0.969218
第161节龙身,6.322046,3.43201,0.969206
第162节龙身,5.390358,4.793795,0.969194
第163节龙身,4.173582,5.908225,0.969182
第164节龙身,2.735903,6.717903,0.969171
第165节龙身,1.152427,7.181697,0.969159
第166节龙身,-0.49484,7.276637,0.969148
第167节龙身,-2.121288,6.998851,0.969137
第168节龙身,-3.644057,6.363497,0.969125
第169节龙身,-4.986208,5.403742,0.969114
第170节龙身,-6.08053,4.168849,0.969103
第171节龙身,-6.872778,2.721492,0.969093
第172节龙身,-7.324212,1.134449,0.969082
第173节龙身,-7.413311,-0.513144,0.969071
第174节龙身,-7.136616,-2.139779,0.969061
第175节龙身,-6.50866,-3.665613,0.96905
第176节龙身,-5.561028,-5.016351,0.96904
第177节龙身,-4.340599,-6.126781,0.96903
第178节龙身,-2.907086,-6.943812,0.96902
第179节龙身,-1.329996,-7.428877,0.96901
第180节龙身,0.314818,-7.559591,0.969
第181节龙身,1.948853,-7.330615,0.96899
第182节龙身,3.494706,-6.753695,0.968981
第183节龙身,4.879713,-5.856891,0.968971
第184节龙身,6.039296,-4.683065,0.968962
第185节龙身,6.919878,-3.287689,0.968952
第186节龙身,7.481237,-1.736117,0.968943
第187节龙身,7.698203,-0.100444,0.968934
第188节龙身,7.561627,1.543894,0.968925
第189节龙身,7.078612,3.121613,0.968916
第190节龙身,6.271987,4.561007,0.968907
第191节龙身,5.179088,5.797159,0.968898
第192节龙身,3.849896,6.774784,0.968889
第193节龙身,2.344647,7.450598,0.968881
第194节龙身,0.731015,7.795113,0.968872
第195节龙身,-0.918985,7.793781,0.968864
第196节龙身,-2.532231,7.447466,0.968855
第197节龙身,-4.037737,6.772223,0.968847
第198节龙身,-5.369731,5.79842,0.968839
第199节龙身,-6.470475,4.569248,0.96883
第200节龙身,-7.292672,3.138692,0.968822
第201节龙身,-7.801398,1.569075,0.968814
第202节龙身,-7.975465,-0.071718,0.968806
第203节龙身,-7.808165,-1.713215,0.968798
第204节龙身,-7.307402,-3.28539,0.968791
第205节龙身,-6.495184,-4.721636,0.968783
第206节龙身,-5.406541,-5.961538,0.968775
第207节龙身,-4.087901,-6.953348,0.968768
第208节龙身,-2.595018,-7.656058,0.96876
第209节龙身,-0.990547,-8.040989,0.968753
第210节龙身,0.658638,-8.092851,0.968745
第211节龙身,2.284252,-7.810223,0.968738
第212节龙身,3.819428,-7.205463,0.968731
第213节龙身,5.201441,-6.304053,0.968723
第214节龙身,6.374223,-5.143414,0.968716
第215节龙身,7.290567,-3.771258,0.968709
第216节龙身,7.913949,-2.243549,0.968702
第217节龙身,8.219875,-0.622157,0.968695
第218节龙身,8.196746,1.02768,0.968688
第219节龙身,7.846175,2.640008,0.968681
第220节龙身,7.182791,4.150776,0.968675
第221节龙身,6.233519,5.500363,0.968668
龙尾,5.036392,6.635875,0.968661
龙尾（后）,3.638939,7.513157,0.968655
