,-100 s,-99 s,-98 s,-97 s,-96 s,-95 s,-94 s,-93 s,-92 s,-91 s,-90 s,-89 s,-88 s,-87 s,-86 s,-85 s,-84 s,-83 s,-82 s,-81 s,-80 s,-79 s,-78 s,-77 s,-76 s,-75 s,-74 s,-73 s,-72 s,-71 s,-70 s,-69 s,-68 s,-67 s,-66 s,-65 s,-64 s,-63 s,-62 s,-61 s,-60 s,-59 s,-58 s,-57 s,-56 s,-55 s,-54 s,-53 s,-52 s,-51 s,-50 s,-49 s,-48 s,-47 s,-46 s,-45 s,-44 s,-43 s,-42 s,-41 s,-40 s,-39 s,-38 s,-37 s,-36 s,-35 s,-34 s,-33 s,-32 s,-31 s,-30 s,-29 s,-28 s,-27 s,-26 s,-25 s,-24 s,-23 s,-22 s,-21 s,-20 s,-19 s,-18 s,-17 s,-16 s,-15 s,-14 s,-13 s,-12 s,-11 s,-10 s,-9 s,-8 s,-7 s,-6 s,-5 s,-4 s,-3 s,-2 s,-1 s,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s
龙头x (m),7.778034,8.126685,8.364115,8.48668,8.492274,8.380384,8.152129,7.810275,7.359228,6.805,6.155156,5.418734,4.606146,3.729043,2.800178,1.833228,0.842614,-0.156708,-1.149462,-2.120283,-3.053953,-3.935646,-4.751167,-5.487197,-6.131525,-6.673269,-7.103088,-7.413367,-7.598388,-7.654463,-7.580049,-7.375824,-7.044722,-6.591941,-6.024902,-5.353171,-4.588338,-3.743858,-2.834847,-1.877845,-0.890544,0.108521,1.100303,2.065598,2.985416,3.841361,4.616015,5.293315,5.858919,6.300548,6.608301,6.774931,6.796078,6.670443,6.399913,5.989606,5.447861,4.786146,4.018887,3.163234,2.238739,1.266966,0.271043,-0.724857,-1.696077,-2.618082,-3.46708,-4.220671,-4.858474,-5.362745,-5.718949,-5.916275,-5.948074,-5.812207,-5.511277,-5.052742,-4.448886,-3.716644,-2.877282,-1.955915,-0.980881,0.017029,1.005468,1.951537,2.82287,3.588777,4.221399,4.69684,4.996235,5.106702,5.022139,4.743816,4.280714,3.649583,2.874685,1.987189,1.02423,0.027614,-0.957795,-1.885972,-2.711856,-3.351261,-3.706423,-3.738383,-3.443636,-2.854513,-2.035637,-1.076834,-0.083277,0.836047,1.773391,2.69292,3.204064,3.088697,2.41384,1.544065,0.58881,-0.406241,-1.395261,-2.334336,-3.183256,-3.907013,-4.476959,-4.871629,-5.077199,-5.087633,-4.90451,-4.536578,-3.99909,-3.312936,-2.503642,-1.600276,-0.634298,0.361592,1.354581,2.312796,3.206278,4.007827,4.693719,5.24428,5.644308,5.883333,5.955742,5.860747,5.60223,5.188461,4.631718,3.947816,3.155569,2.276194,1.332696,0.349221,-0.649575,-1.63915,-2.595663,-3.496522,-4.320873,-5.050034,-5.667852,-6.160996,-6.51917,-6.735248,-6.805336,-6.728765,-6.50801,-6.14855,-5.658665,-5.049192,-4.33323,-3.525815,-2.643567,-1.70432,-0.726739,0.270061,1.266891,2.244857,3.185708,4.072153,4.88816,5.619216,6.252551,6.777326,7.184774,7.468311,7.623592,7.64854,7.543327,7.310318,6.953984,6.480779,5.898994,5.218577,4.450938,3.608734,2.705646,1.756134,0.775202,-0.221848,-1.219656,-2.203043,-3.157229
龙头y (m),3.717164,2.780513,1.809692,0.817807,-0.181601,-1.174738,-2.147739,-3.086866,-3.9787,-4.810346,-5.569621,-6.245245,-6.827032,-7.306048,-7.674782,-7.927277,-8.059257,-8.068224,-7.953534,-7.716447,-7.360143,-6.889718,-6.312141,-5.636184,-4.87232,-4.032589,-3.130438,-2.180524,-1.198503,-0.200786,0.795725,1.773912,2.716735,3.607533,4.430322,5.170106,5.813159,6.347317,6.762232,7.049616,7.203441,7.220118,7.098625,6.840592,6.450345,5.934886,5.303829,4.569276,3.74564,2.849409,1.898865,0.913745,-0.085133,-1.076294,-2.03805,-2.948977,-3.7884,-4.536882,-5.176714,-5.692373,-6.07096,-6.302591,-6.380732,-6.302472,-6.068711,-5.684273,-5.157911,-4.502224,-3.733458,-2.871209,-1.938017,-0.958856,0.039467,1.028995,1.981375,2.868671,3.664199,4.343382,4.884582,5.269894,5.48587,5.52414,5.381911,5.06231,4.574542,3.933862,3.161322,2.283298,1.33079,0.338498,-0.656304,-1.615078,-2.499485,-3.272945,-3.902245,-4.359144,-4.621878,-4.676516,-4.518073,-4.151298,-3.591078,-2.828208,-1.898333,-0.903453,0.047301,0.849636,1.415543,1.682945,1.62251,1.240867,0.94616,1.289821,2.127896,3.102743,3.824652,4.314003,4.603071,4.680828,4.546281,4.207916,3.682777,2.99525,2.175643,1.258635,0.281661,-0.716686,-1.698183,-2.626385,-3.467871,-4.193297,-4.778232,-5.203777,-5.45695,-5.530856,-5.42464,-5.143256,-4.697063,-4.101276,-3.375304,-2.541994,-1.626821,-0.657044,0.339146,1.333455,2.298274,3.207415,4.036759,4.764828,5.373252,5.847137,6.175324,6.350542,6.369461,6.232641,5.944393,5.512556,4.948197,4.265259,3.480145,2.611276,1.678613,0.703174,-0.29346,-1.289628,-2.264051,-3.196275,-4.067071,-4.8588,-5.555728,-6.144295,-6.613321,-6.954171,-7.160852,-7.23006,-7.161175,-6.956207,-6.619685,-6.158514,-5.58179,-4.900578,-4.127666,-3.277294,-2.364868,-1.406663,-0.41952,0.579456,1.573196,2.544951,3.478568,4.358741,5.171247,5.903151,6.542988,7.080918,7.508838,7.820485,8.011484,8.079382,8.023646,7.845629,7.548511
第1节龙身x (m),6.209273,6.844374,7.386518,7.82814,8.16294,8.385999,8.493864,8.484628,8.357984,8.115259,7.759426,7.295092,6.728469,6.067309,5.320826,4.49959,3.615398,2.681121,1.710536,0.718137,-0.281074,-1.271802,-2.238694,-3.166574,-4.040687,-4.846941,-5.572148,-6.204254,-6.732564,-7.147945,-7.443011,-7.612291,-7.652359,-7.561945,-7.341999,-6.995737,-6.528628,-5.948359,-5.264745,-4.489609,-3.636611,-2.721047,-1.759603,-0.770081,0.228917,1.218315,2.17893,3.091833,3.93874,4.702387,5.366911,5.91821,6.344282,6.635539,6.785073,6.788882,6.646045,6.358827,5.932726,5.376451,4.701818,3.923574,3.059154,2.128347,1.152904,0.156079,-0.837894,-1.804367,-2.718885,-3.557812,-4.298971,-4.922279,-5.410351,-5.74907,-5.928089,-5.941264,-5.786982,-5.468385,-4.993462,-4.375006,-3.630426,-2.781403,-1.853397,-0.875003,0.122829,1.107703,2.046789,2.907912,3.660695,4.277705,4.735585,5.016096,5.10706,5.003129,4.706346,4.226459,3.58094,2.794699,1.899439,0.932686,-0.063534,-1.029236,-1.921023,-2.726519,-3.361002,-3.710174,-3.735733,-3.434875,-2.840603,-2.018103,-0.987905,-0.146015,0.423948,1.021341,2.075995,3.153528,3.058791,2.338624,1.457971,0.495889,-0.50166,-1.488798,-2.42176,-3.260672,-3.971021,-4.524784,-4.901206,-5.087238,-5.077638,-4.874766,-4.488117,-3.93362,-3.232756,-2.411538,-1.499404,-0.528066,0.469653,1.460935,2.41402,3.299165,4.089483,4.76164,5.296418,5.679115,5.899792,5.953381,5.839633,5.562953,5.132102,4.559804,3.862265,3.058629,2.170377,1.220701,0.233866,-0.76543,-1.752673,-2.704121,-3.597339,-4.41169,-5.128758,-5.732696,-6.210515,-6.55228,-6.751242,-6.803893,-6.709946,-6.472244,-6.09662,-5.591682,-4.968562,-4.24062,-3.423113,-2.532839,-1.587763,-0.606639,0.391378,1.387107,2.361701,3.296999,4.17584,4.982358,5.702232,6.322917,6.833812,7.226414,7.494407,7.633725,7.64257,7.521389,7.272814,6.901572,6.414359,5.819682,5.127689,4.349961,3.499303,2.589508,1.635127,0.651218,-0.34689
第1节龙身y (m),6.108521,5.336931,4.497424,3.600958,2.659374,1.685256,0.691771,-0.307504,-1.298759,-2.268139,-3.201939,-4.086801,-4.909913,-5.659198,-6.323511,-6.892815,-7.358352,-7.712799,-7.950408,-8.067121,-8.06067,-7.930648,-7.678552,-7.307803,-6.823729,-6.233527,-5.546182,-4.772366,-3.924296,-3.015575,-2.06099,-1.076295,-0.07797,0.917051,1.89165,2.828828,3.711999,4.525292,5.253858,5.884158,6.404241,6.804006,7.075432,7.212785,7.212784,7.074725,6.800564,6.394947,5.865194,5.221219,4.475403,3.642413,2.738957,1.783493,0.795896,-0.202933,-1.191487,-2.148101,-3.051433,-3.880945,-4.617398,-5.24333,-5.743521,-6.105417,-6.319519,-6.379709,-6.283513,-6.032282,-5.631288,-5.089726,-4.420609,-3.640566,-2.769528,-1.830308,-0.848089,0.150191,1.136533,2.08263,2.960684,3.744246,4.409063,4.933904,5.301353,5.498512,5.517611,5.356491,5.01892,4.514741,3.859808,3.075716,2.189305,1.231932,0.238534,-0.753517,-1.705744,-2.580023,-3.340148,-3.953439,-4.392323,-4.635824,-4.670888,-4.49788,-4.132599,-3.578473,-2.811505,-1.879364,-0.884299,0.064539,0.863067,1.423694,1.691038,1.636305,1.45666,1.126475,0.984677,1.949848,3.161269,3.87751,4.349645,4.619527,4.677083,4.522286,4.164551,3.621773,2.919078,2.087382,1.161815,0.180103,-0.819035,-1.797407,-2.718752,-3.549962,-4.262121,-4.831321,-5.239251,-5.473564,-5.528017,-5.402407,-5.102317,-4.638688,-4.027262,-3.2879,-2.443819,-1.520772,-0.546204,0.451603,1.444358,2.404546,3.306149,4.125299,4.840828,5.434731,5.89252,6.203469,6.360759,6.361515,6.206748,5.901197,5.453107,4.873913,4.177883,3.381698,2.504001,1.564922,0.585587,-0.41237,-1.407295,-2.377969,-3.30405,-4.166469,-4.947788,-5.632512,-6.20735,-6.661417,-6.986387,-7.176589,-7.229047,-7.143465,-6.922166,-6.569982,-6.094103,-5.503881,-4.810613,-4.027288,-3.168311,-2.24922,-1.286386,-0.296704,0.702699,1.694772,2.662817,3.590765,4.463426,5.266721,5.987883,6.615637,7.140349,7.554141,7.850977,8.026723,8.079166
第2节龙身x (m),4.979639,5.74876,6.439882,7.043616,7.551634,7.956795,8.25327,8.436638,8.503977,8.453931,8.286757,8.004352,7.61026,7.109649,6.509274,5.817404,5.043737,4.199282,3.296227,2.347777,1.367978,0.371525,-0.626455,-1.610623,-2.56566,-3.47651,-4.328622,-5.108192,-5.8024,-6.399642,-6.88974,-7.264151,-7.516134,-7.640915,-7.635805,-7.500296,-7.236123,-6.847284,-6.340023,-5.722773,-5.006062,-4.202367,-3.32594,-2.392584,-1.419404,-0.424511,0.573291,1.554851,2.501033,3.393091,4.213054,4.944103,5.570946,6.080173,6.460586,6.703495,6.802977,6.756078,6.562969,6.22703,5.754875,5.156298,4.444148,3.634132,2.744531,1.795857,0.81043,-0.188102,-1.175304,-2.126528,-3.017536,-3.82513,-4.527791,-5.106303,-5.54435,-5.829065,-5.951507,-5.907061,-5.695733,-5.322326,-4.796492,-4.132633,-3.349668,-2.470629,-1.522122,-0.533634,0.463295,1.436018,2.351818,3.179024,3.888155,4.453065,4.852049,5.068857,5.093574,4.923332,4.562782,4.024315,3.327977,2.50106,1.577351,0.611725,-0.351388,-1.301036,-2.19093,-2.962735,-3.509756,-3.755148,-3.671993,-3.269414,-2.535609,-1.7917,-1.212796,-0.529151,0.486896,1.841429,2.915572,3.237945,2.847406,2.048549,1.134751,0.155154,-0.844047,-1.817466,-2.722474,-3.520879,-4.180277,-4.675069,-4.987113,-5.106048,-5.029286,-4.761711,-4.315127,-3.707488,-2.961964,-2.105883,-1.169608,-0.185369,0.81388,1.795564,2.728509,3.583865,4.335893,4.962621,5.446349,5.773997,5.937304,5.932876,5.762102,5.43093,4.949542,4.331927,3.595375,2.75991,1.84768,0.882326,-0.111664,-1.109583,-2.087116,-3.020912,-3.889104,-4.671776,-5.351363,-5.912978,-6.344669,-6.637593,-6.786121,-6.787866,-6.643638,-6.357338,-5.935785,-5.388495,-4.727411,-3.966588,-3.121862,-2.210479,-1.250724,-0.261533,0.737884,1.728419,2.691426,3.609054,4.464556,5.242576,5.929385,6.513091,6.983808,7.333782,7.557473,7.651602,7.615154,7.449344,7.157544,6.745179,6.219594,5.589889,4.866732,4.062156,3.189336,2.262358,1.295976
第2节龙身y (m),7.208749,6.570678,5.848861,5.052516,4.191955,3.278456,2.324136,1.341798,0.34477,-0.65327,-1.638474,-2.597019,-3.5153,-4.380126,-5.178919,-5.899906,-6.532308,-7.066513,-7.494245,-7.808714,-8.004746,-8.078895,-8.029533,-7.856908,-7.563185,-7.15245,-6.630684,-6.005714,-5.287123,-4.486134,-3.615465,-2.68915,-1.722337,-0.731059,0.268019,1.257867,2.221378,3.141661,4.002348,4.787889,5.483859,6.077239,6.556692,6.912814,7.138356,7.228417,7.180595,6.995101,6.674822,6.225332,5.654858,4.974185,4.196506,3.33722,2.413675,1.444856,0.451033,-0.546636,-1.526541,-2.46708,-3.347134,-4.146566,-4.846699,-5.430798,-5.88452,-6.196329,-6.357859,-6.364226,-6.21426,-5.910656,-5.460044,-4.872948,-4.163654,-3.349963,-2.452846,-1.495989,-0.505244,0.492012,1.467595,2.39329,3.241676,3.986974,4.605887,5.078418,5.388634,5.525341,5.482651,5.260412,4.864468,4.306732,3.60506,2.782898,1.868709,0.895173,-0.101826,-1.084407,-2.014068,-2.853192,-3.566624,-4.123277,-4.497689,-4.670346,-4.641272,-4.409436,-3.974875,-3.350362,-2.518751,-1.55408,-0.562166,0.348185,1.1191,1.517064,1.665388,1.690812,1.428823,0.949401,1.517496,2.494137,3.459718,4.061182,4.465759,4.663421,4.647585,4.421557,3.997795,3.396838,2.645986,1.777794,0.82848,-0.163697,-1.160023,-2.122809,-3.016741,-3.810041,-4.475432,-4.990872,-5.340075,-5.51279,-5.504875,-5.31816,-4.960135,-4.443472,-3.785419,-3.007089,-2.132675,-1.188617,-0.202748,0.796548,1.781157,2.724,3.599728,4.385345,5.060727,5.609047,6.017095,6.275483,6.378759,6.325401,6.117733,5.76174,5.266809,4.645402,3.912673,3.086038,2.184712,1.229228,0.240946,-0.758437,-1.747364,-2.70487,-3.611008,-4.447235,-5.196752,-5.8448,-6.378899,-6.789037,-7.0678,-7.210449,-7.214941,-7.081898,-6.81453,-6.418504,-5.901786,-5.27443,-4.548351,-3.737061,-2.855395,-1.919213,-0.945105,0.049918,1.048722,2.034344,2.990275,3.900721,4.750853,5.527024,6.216966,6.809958,7.296963,7.670735,7.925893
第3节龙身x (m),3.565453,4.440495,5.254999,5.998138,6.659909,7.231276,7.70431,8.072314,8.329936,8.473269,8.499926,8.409109,8.201641,7.879991,7.448272,6.912207,6.279085,5.557681,4.758163,3.891964,2.971643,2.010716,1.023478,0.024794,-0.970108,-1.945871,-2.887242,-3.779314,-4.607769,-5.359118,-6.020939,-6.5821,-7.03297,-7.365611,-7.57395,-7.653922,-7.603586,-7.423206,-7.115301,-6.684649,-6.138261,-5.485309,-4.737011,-3.90648,-3.008529,-2.059442,-1.076703,-0.078698,0.915611,1.88704,2.816547,3.685615,4.47663,5.173264,5.760837,6.226671,6.560407,6.754284,6.803386,6.705826,6.462876,6.079035,5.562022,4.922702,4.174935,3.335348,2.423031,1.459165,0.46658,-0.530746,-1.508244,-2.441343,-3.306099,-4.079825,-4.741733,-5.273547,-5.660084,-5.889782,-5.955153,-5.853144,-5.585398,-5.158383,-4.583399,-3.87643,-3.057849,-2.151977,-1.18648,-0.191635,0.800541,1.757273,2.646093,3.435966,4.098444,4.608796,4.947087,5.099151,5.057422,4.821557,4.398834,3.804271,3.060426,2.211236,1.297042,0.326217,-0.659566,-1.604778,-2.459563,-3.172654,-3.625682,-3.764365,-3.548128,-3.126424,-2.713066,-2.145871,-1.144639,0.289728,1.350131,2.374474,3.105513,3.180876,2.591274,1.745161,0.803492,-0.188164,-1.183638,-2.138268,-3.010764,-3.764778,-4.370141,-4.803756,-5.050137,-5.101614,-4.95822,-4.6273,-4.122876,-3.464819,-2.677863,-1.790519,-0.833931,0.159283,1.156173,2.124529,3.033877,3.85635,4.56744,5.146598,5.577684,5.849266,5.954767,5.892463,5.665348,5.280878,4.750607,4.089728,3.316547,2.451895,1.518514,0.540413,-0.457769,-1.451392,-2.416408,-3.329919,-4.170684,-4.919555,-5.55986,-6.077701,-6.462186,-6.705577,-6.803368,-6.754288,-6.560233,-6.22614,-5.75979,-5.171575,-4.474207,-3.682402,-2.812525,-1.88223,-0.910073,0.084872,1.083386,2.066481,3.015746,3.91368,4.743987,5.491847,6.144148,6.689675,7.119271,7.425939,7.604923,7.653731,7.572128,7.362087,7.027707,6.575098,6.012234,5.348782,4.595908,3.766071,2.872788
第3节龙身y (m),8.058794,7.576135,6.997143,6.329025,5.580237,4.760388,3.880138,2.951073,1.985565,0.996617,-0.002302,-0.997434,-1.97492,-2.920992,-3.822165,-4.665441,-5.4385,-6.129896,-6.729234,-7.227349,-7.616467,-7.890343,-8.044393,-8.075793,-7.983559,-7.768603,-7.433756,-6.983765,-6.425259,-5.766684,-5.018206,-4.191583,-3.30001,-2.357929,-1.380821,-0.384966,0.612816,1.595436,2.54583,3.447257,4.283599,5.039665,5.701486,6.256598,6.694307,7.005932,7.185019,7.227518,7.13192,6.899357,6.533647,6.041288,5.431404,4.715631,3.907948,3.024457,2.083105,1.103363,0.105849,-0.888075,-1.856754,-2.7787,-3.633085,-4.400222,-5.062058,-5.602639,-6.008546,-6.269302,-6.377714,-6.330157,-6.12678,-5.771632,-5.272693,-4.6418,-3.894479,-3.049662,-2.129305,-1.157897,-0.161884,0.831005,1.792495,2.694559,3.510256,4.214576,4.785274,5.203676,5.45541,5.531052,5.426642,5.144063,4.691237,4.082132,3.336558,2.479737,1.541659,0.556199,-0.439955,-1.408579,-2.311329,-3.111279,-3.77451,-4.265295,-4.569311,-4.682469,-4.589225,-4.28762,-3.791384,-3.097842,-2.211516,-1.225831,-0.183707,0.547006,0.97859,1.361092,1.674977,1.510404,0.996062,1.088108,1.830031,2.861042,3.69049,4.222538,4.557498,4.682088,4.593181,4.297332,3.809919,3.153974,2.358789,1.458375,0.489846,-0.508199,-1.497224,-2.440207,-3.302921,-4.055034,-4.670996,-5.130699,-5.419913,-5.530497,-5.460394,-5.213433,-4.798954,-4.231288,-3.529106,-2.71468,-1.813082,-0.851333,0.142444,1.139863,2.11308,3.035533,3.882618,4.632276,5.265476,5.76661,6.12377,6.328923,6.377979,6.270765,6.010897,5.605569,5.065278,4.403463,3.636116,2.78133,1.858835,0.889509,-0.105114,-1.10333,-2.083735,-3.025669,-3.909627,-4.717633,-5.433562,-6.04342,-6.535564,-6.900868,-7.132841,-7.227679,-7.184268,-7.00414,-6.691374,-6.252456,-5.696102,-5.03304,-4.275771,-3.4383,-2.535853,-1.584578,-0.601246,0.397052,1.393209,2.370386,3.312293,4.203444,5.029394,5.776955,6.434377,6.991509,7.439925
第4节龙身x (m),2.017542,2.967173,3.875545,4.730815,5.521705,6.237659,6.868993,7.407041,7.844289,8.174496,8.392801,8.495818,8.481706,8.350225,8.102769,7.74238,7.273732,6.703099,6.038295,5.288591,4.464606,3.578182,2.642227,1.67055,0.677665,-0.321414,-1.311389,-2.276912,-3.202826,-4.074401,-4.87758,-5.599221,-6.227325,-6.751258,-7.161955,-7.452109,-7.616328,-7.651271,-7.555756,-7.330823,-6.979774,-6.508166,-5.923768,-5.236473,-4.458174,-3.602595,-2.685084,-1.722369,-0.732281,0.26656,1.255078,2.214098,3.124719,3.968697,4.728822,5.389298,5.936102,6.357326,6.643479,6.787762,6.786286,6.638245,6.346021,5.915228,5.354681,4.676299,3.894922,3.028061,2.095569,1.119243,0.122362,-0.870832,-1.835709,-2.747849,-3.583674,-4.32109,-4.940109,-5.423465,-5.757168,-5.931016,-5.939012,-5.779696,-5.456359,-4.977136,-4.354952,-3.607333,-2.756057,-1.826654,-0.847763,0.149654,1.133224,2.070169,2.928403,3.677668,4.290676,4.744238,5.0203,5.106877,4.998813,4.698333,4.21535,3.578837,2.821011,1.947221,0.989995,-0.000884,-0.975778,-1.897625,-2.715627,-3.353771,-3.720279,-3.747885,-3.624664,-3.344879,-2.660243,-1.355161,-0.168632,0.738096,1.712397,2.688531,3.210956,3.038417,2.314271,1.430232,0.466067,-0.532183,-1.518626,-2.449548,-3.285186,-3.991186,-4.539722,-4.91027,-5.090025,-5.073997,-4.864798,-4.472159,-3.912226,-3.206668,-2.381655,-1.466745,-0.493728,0.504531,1.495212,2.446591,3.328995,4.115637,4.783309,5.312941,5.68999,5.904693,5.952155,5.832305,5.549717,5.113311,4.535958,3.833993,3.026666,2.135545,1.183886,0.195991,-0.803427,-1.789864,-2.739607,-3.630275,-4.441302,-5.154357,-5.753696,-6.22644,-6.562774,-6.756074,-6.802959,-6.703267,-6.459966,-6.079003,-5.569095,-4.941473,-4.209585,-3.388759,-2.495852,-1.548876,-0.566611,0.431773,1.427095,2.400528,3.333938,4.210209,5.013527,5.72964,6.346072,6.852308,7.239928,7.502709,7.636676,7.640126,7.513596,7.259811,6.883582,6.391684,5.7927,5.096843,4.315754
第4节龙身y (m),8.630173,8.318982,7.902464,7.38562,6.774805,6.077667,5.303073,4.461011,3.562475,2.619341,1.644217,0.650286,-0.348863,-1.339416,-2.307525,-3.239498,-4.121999,-4.942243,-5.688195,-6.348752,-6.913928,-7.375026,-7.724785,-7.957526,-8.069264,-8.057806,-7.922821,-7.665886,-7.290497,-6.80206,-6.207841,-5.516894,-4.739953,-3.889291,-2.978557,-2.022577,-1.037135,-0.038727,0.955704,1.929048,2.864319,3.744959,4.555141,5.280064,5.906252,6.421826,6.816764,7.083136,7.215301,7.210076,7.066858,6.787704,6.377362,5.843247,5.195366,4.446183,3.610438,2.704901,1.748083,0.759889,-0.238759,-1.226352,-2.181243,-3.08212,-3.908499,-4.641208,-5.262868,-5.758357,-6.115233,-6.324115,-6.379016,-6.277592,-6.021328,-5.615627,-5.069809,-4.397003,-3.613938,-2.740631,-1.799962,-0.817156,0.180832,1.166007,2.110099,2.98537,3.765458,4.42622,4.94656,5.309209,5.501432,5.515631,5.349817,5.007928,4.49996,3.841905,3.05547,2.167576,1.209627,0.216564,-0.774278,-1.724501,-2.5961,-3.342166,-3.936842,-4.3745,-4.627308,-4.674949,-4.513107,-4.145125,-3.587851,-2.823927,-1.824702,-0.981485,-0.396724,0.227566,1.022716,1.640174,1.640934,1.299694,0.945877,1.28621,2.161277,3.197847,3.894139,4.360695,4.624396,4.675474,4.514207,4.150301,3.601919,2.894422,2.058914,1.130669,0.147503,-0.851824,-1.829133,-2.748219,-3.576077,-4.283928,-4.84803,-5.250262,-5.478479,-5.52665,-5.394781,-5.088655,-4.619406,-4.002943,-3.259273,-2.411735,-1.486173,-0.510091,0.488198,1.480403,2.439038,3.338143,4.153929,4.865329,5.454458,5.906958,6.212247,6.363652,6.358449,6.197794,5.88657,5.433152,4.849099,4.148786,3.348983,2.46841,1.527251,0.546669,-0.451686,-1.446159,-2.415554,-3.339563,-4.199171,-4.977006,-5.657654,-6.22791,-6.676988,-6.996665,-7.181378,-7.228258,-7.137118,-6.910385,-6.552993,-6.072224,-5.477519,-4.780251,-3.993476,-3.131655,-2.21037,-1.246022,-0.255528,0.743981,1.735457,2.702222,3.628233,4.49834,5.298512,6.016038,6.639707
